away_team,home_team,game_date,away_scoreboard,home_scoreboard,away_spread,home_spread
Chicago,Miami,2006-10-31,"['22', '37', '21', '28', '108']","['16', '14', '21', '15', '66']","['+4½-110', '-', '+4½-110', '-']","['-4½-110', '-', '-4½-110', '-']"
Phoenix,L.A. Lakers,2006-10-31,"['41', '17', '21', '27', '106']","['26', '27', '34', '27', '114']","['-8½-110', '-', '-8-110', '-']","['+8½-110', '-', '+8-110', '-']"
Chicago,Orlando,2006-11-01,"['20', '25', '25', '24', '94']","['32', '31', '23', '23', '109']","['-2-110', '-', '-1-110', '-']","['+2-110', '-', '+1-110', '-']"
Indiana,Charlotte,2006-11-01,"['23', '26', '28', '29', '106']","['27', '23', '23', '26', '99']",[],[]
Atlanta,Philadelphia,2006-11-01,"['14', '21', '23', '17', '75']","['29', '20', '24', '15', '88']","['+6-115', '-', '+5½-110', '-']","['-6-105', '-', '-5½-110', '-']"
New Orleans,Boston,2006-11-01,"['26', '28', '21', '16', '91']","['16', '25', '24', '22', '87']","['+3½-110', '-', '+3-110', '-']","['-3½-110', '-', '-3-110', '-']"
Toronto,Brooklyn,2006-11-01,"['27', '22', '21', '22', '92']","['28', '25', '21', '28', '102']","['+7-110', '-', '+7½-110', '-']","['-7-110', '-', '-7½-110', '-']"
Milwaukee,Detroit,2006-11-01,"['30', '25', '23', '27', '105']","['21', '24', '27', '25', '97']","['+7-110', '-', '+6½-110', '-']","['-7-110', '-', '-6½-110', '-']"
Sacramento,Minnesota,2006-11-01,"['16', '25', '25', '17', '83']","['23', '20', '21', '28', '92']","['+5-115', '-', '+4-110', '-']","['-5-105', '-', '-4-110', '-']"
New York,Memphis,2006-11-01,"['20', '31', '20', '18', '89']","['25', '21', '14', '29', '89']","['+5-110', '-', '+5-110', '-']","['-5-110', '-', '-5-110', '-']"
Washington,Cleveland,2006-11-01,"['28', '17', '24', '25', '94']","['26', '21', '28', '22', '97']","['+6½-110', '-', '+6-110', '-']","['-6½-110', '-', '-6-110', '-']"
Houston,Utah,2006-11-01,"['26', '22', '24', '25', '97']","['35', '25', '25', '22', '107']","['-2-110', '-', '-1½-110', '-']","['+2-110', '-', '+1½-110', '-']"
L.A. Lakers,Golden State,2006-11-01,"['22', '27', '38', '23', '110']","['22', '26', '25', '25', '98']","['+7½-110', '-', '+7½-110', '-']","['-7½-110', '-', '-7½-110', '-']"
